gene,importance_HER2+,importance_HR+,importance_Triple Neg,selection_freq
AC016889.28-1,0.063509,0.017949,0.038501,0.6817
AOC3,0.063509,0.017949,0.038501,0.6817
RND2,0.063509,0.017949,0.038501,0.6817
BECN1,0.063509,0.017949,0.038501,0.6817
BRCA1,0.063509,0.017949,0.038501,0.6817
PLEKHH3,0.063509,0.017949,0.038501,0.6817
VPS25,0.063509,0.017949,0.038501,0.6817
EZH1,0.063509,0.017949,0.038501,0.6817
CCDC56,0.063509,0.017949,0.038501,0.6817
PSME3,0.063509,0.017949,0.038501,0.6817
CCR10,0.063509,0.017949,0.038501,0.6817
AARSD1,0.063509,0.017949,0.038501,0.6817
CNTD1,0.063509,0.017949,0.038501,0.6817
NBR2,0.063509,0.017949,0.038501,0.6817
RAMP2,0.063509,0.017949,0.038501,0.6817
AC016889.28-2,0.063509,0.017949,0.038501,0.6817
WNK4,0.063509,0.017949,0.038501,0.6817
AC109326.11,0.063509,0.017949,0.038501,0.6817
IFI35,0.063509,0.017949,0.038501,0.6817
RPL27,0.063509,0.017949,0.038501,0.6817
ANKRD42,0.013147,0.063400,0.045605,0.2517
EYA2,0.045465,0.031639,0.063314,0.3933
AHCY,0.026431,0.038480,0.063282,0.4650
hsa-mir-1233,0.033438,0.033039,0.063231,0.1367
SNORD58,0.015343,0.049947,0.063115,0.1767
AHCTF1,0.054465,0.045911,0.063088,0.4667
GAS7,0.063058,0.016258,0.055983,0.2667
PDE10A,0.027457,0.040638,0.062972,0.5217
AL627171.1-1,0.018708,0.062350,0.038500,0.2017
SDCCAG1,0.018708,0.062350,0.038500,0.2017
SNORA57,0.048215,0.062167,0.046500,0.6317
PPAP2C,0.034802,0.060514,0.062137,0.3117
FAM172A,0.040820,0.062022,0.035216,0.3267
NSF,0.062009,0.022040,0.035633,0.7133
FAM59A,0.020178,0.061464,0.061913,0.3000
AL033519.42-1,0.015672,0.061838,0.057609,0.6033
CPNE5,0.015672,0.061838,0.057609,0.6033
RPL12P2,0.015672,0.061838,0.057609,0.6033
PI16,0.015672,0.061838,0.057609,0.6033
AL121715.15,0.015672,0.061838,0.057609,0.6033
RPL10A,0.015672,0.061838,0.057609,0.6033
CLPS,0.015672,0.061838,0.057609,0.6033
MAPK14,0.015672,0.061838,0.057609,0.6033
PPIL1,0.015672,0.061838,0.057609,0.6033
Z85986.1,0.015672,0.061838,0.057609,0.6033
AL157823.9,0.015672,0.061838,0.057609,0.6033
C6orf126,0.015672,0.061838,0.057609,0.6033
KCTD20,0.015672,0.061838,0.057609,0.6033
MAPK13,0.015672,0.061838,0.057609,0.6033
RP3-329A5.1,0.015672,0.061838,0.057609,0.6033
PIM1,0.015672,0.061838,0.057609,0.6033
SFRS3,0.015672,0.061838,0.057609,0.6033
DEF6,0.015672,0.061838,0.057609,0.6033
RP3-340B19.2,0.015672,0.061838,0.057609,0.6033
FGD2,0.015672,0.061838,0.057609,0.6033
PNPLA1,0.015672,0.061838,0.057609,0.6033
RP3-431A14.4,0.015672,0.061838,0.057609,0.6033
RAB44,0.015672,0.061838,0.057609,0.6033
LHFPL5,0.015672,0.061838,0.057609,0.6033
PXT1,0.015672,0.061838,0.057609,0.6033
TMEM217,0.015672,0.061838,0.057609,0.6033
AL353579.17,0.015672,0.061838,0.057609,0.6033
C6orf127,0.015672,0.061838,0.057609,0.6033
RP3-510O8.3,0.015672,0.061838,0.057609,0.6033
C6orf89,0.015672,0.061838,0.057609,0.6033
RP3-340B19.5,0.015672,0.061838,0.057609,0.6033
C6orf81,0.015672,0.061838,0.057609,0.6033
Z95152.1-1,0.015672,0.061838,0.057609,0.6033
TULP1,0.015672,0.061838,0.057609,0.6033
Z95152.1-2,0.015672,0.061838,0.057609,0.6033
ETV7,0.015672,0.061838,0.057609,0.6033
Z85996.1-1,0.015672,0.061838,0.057609,0.6033
TEAD3,0.015672,0.061838,0.057609,0.6033
CDKN1A,0.015672,0.061838,0.057609,0.6033
MKRNP2,0.015672,0.061838,0.057609,0.6033
STK38,0.015672,0.061838,0.057609,0.6033
SLC26A8,0.015672,0.061838,0.057609,0.6033
FANCE,0.015672,0.061838,0.057609,0.6033
Z85996.1-2,0.015672,0.061838,0.057609,0.6033
BRPF3,0.015672,0.061838,0.057609,0.6033
AL136135.19-1,0.015672,0.061838,0.057609,0.6033
C6orf222,0.015672,0.061838,0.057609,0.6033
PPARD,0.015672,0.061838,0.057609,0.6033
FKBP5,0.015672,0.061838,0.057609,0.6033
SRPK1,0.015672,0.061838,0.057609,0.6033
MTCH1,0.015672,0.061838,0.057609,0.6033
SRGAP1,0.021668,0.061625,0.061724,0.4183
