gene,importance_HER2+,importance_HR+,importance_Triple Neg,selection_freq
hsa-mir-181c,0.017284,0.025427,0.046427,0.2883
AC022098.9-1,0.017284,0.025427,0.046427,0.2883
AC022098.9-3,0.017284,0.025427,0.046427,0.2883
hsa-mir-27a,0.017284,0.025427,0.046427,0.2883
MRI1,0.017284,0.025427,0.046427,0.2883
AC008686.8,0.017284,0.025427,0.046427,0.2883
ASF1B,0.017284,0.025427,0.046427,0.2883
RFX1,0.017284,0.025427,0.046427,0.2883
C19orf57,0.017284,0.025427,0.046427,0.2883
RLN3,0.017284,0.025427,0.046427,0.2883
hsa-mir-24-2,0.017284,0.025427,0.046427,0.2883
ZSWIM4,0.017284,0.025427,0.046427,0.2883
AC020916.8-3,0.017284,0.025427,0.046427,0.2883
C19orf67,0.017284,0.025427,0.046427,0.2883
hsa-mir-23a,0.017284,0.025427,0.046427,0.2883
PODNL1,0.017284,0.025427,0.046427,0.2883
C19orf53,0.017284,0.025427,0.046427,0.2883
PRKACA,0.017284,0.025427,0.046427,0.2883
AC020916.8-2,0.017284,0.025427,0.046427,0.2883
AC022098.9-2,0.017284,0.025427,0.046427,0.2883
AC020916.8-1,0.017284,0.025427,0.046427,0.2883
IL27RA,0.017284,0.025427,0.046427,0.2883
LPHN1,0.017284,0.025427,0.046427,0.2883
CC2D1A,0.017284,0.025427,0.046427,0.2883
hsa-mir-181d,0.017284,0.025427,0.046427,0.2883
CACNA1A,0.017284,0.025427,0.046427,0.2883
CCDC130,0.017284,0.025427,0.046427,0.2883
BGN,0.026453,0.046320,0.039045,0.4017
Vault,0.014053,0.046131,0.042615,0.1550
PUS7L,0.023290,0.045928,0.027640,0.3867
IRAK4,0.023290,0.045928,0.027640,0.3867
TWF1,0.023290,0.045928,0.027640,0.3867
AC002485.1,0.021404,0.045763,0.024769,0.5783
SNORA67,0.045140,0.036622,0.027385,0.3133
KARS,0.008479,0.044911,0.037739,0.5017
TMEM170A,0.008479,0.044911,0.037739,0.5017
NUDT7,0.008479,0.044911,0.037739,0.5017
CTRB2,0.008479,0.044911,0.037739,0.5017
TERF2IP,0.008479,0.044911,0.037739,0.5017
FA2H,0.008479,0.044911,0.037739,0.5017
CFDP1,0.008479,0.044911,0.037739,0.5017
BCAR1,0.008479,0.044911,0.037739,0.5017
GLG1,0.008479,0.044911,0.037739,0.5017
RFWD3,0.008479,0.044911,0.037739,0.5017
MON1B,0.008479,0.044911,0.037739,0.5017
AC025287.8-2,0.008479,0.044911,0.037739,0.5017
AC025287.8-1,0.008479,0.044911,0.037739,0.5017
ZNRF1,0.008479,0.044911,0.037739,0.5017
AC009139.8,0.008479,0.044911,0.037739,0.5017
AC009078.6,0.008479,0.044911,0.037739,0.5017
CHST5,0.008479,0.044911,0.037739,0.5017
AC010528.8,0.008479,0.044911,0.037739,0.5017
CLEC3A,0.008479,0.044911,0.037739,0.5017
ADAMTS18,0.008479,0.044911,0.037739,0.5017
AC025287.8-3,0.008479,0.044911,0.037739,0.5017
CTRB1,0.008479,0.044911,0.037739,0.5017
AC109599.4,0.008479,0.044911,0.037739,0.5017
AC025284.4,0.008479,0.044911,0.037739,0.5017
AC009163.6,0.008479,0.044911,0.037739,0.5017
GABARAPL2,0.008479,0.044911,0.037739,0.5017
MLKL,0.008479,0.044911,0.037739,0.5017
RPL18P13,0.008479,0.044911,0.037739,0.5017
ZFP1,0.008479,0.044911,0.037739,0.5017
AC009053.7-1,0.008479,0.044911,0.037739,0.5017
LDHD,0.008479,0.044911,0.037739,0.5017
ADAT1,0.008479,0.044911,0.037739,0.5017
CNTNAP4,0.008479,0.044911,0.037739,0.5017
AC092724.2,0.008479,0.044911,0.037739,0.5017
CHST6,0.008479,0.044911,0.037739,0.5017
WDR59,0.008479,0.044911,0.037739,0.5017
VAT1L,0.008479,0.044911,0.037739,0.5017
AC002094.1-1,0.044885,0.021747,0.025504,0.3133
TNFAIP1,0.044885,0.021747,0.025504,0.3133
AC002094.1-2,0.044885,0.021747,0.025504,0.3133
AC002094.1-4,0.044885,0.021747,0.025504,0.3133
TMEM97,0.044885,0.021747,0.025504,0.3133
AC061975.6-6,0.044885,0.021747,0.025504,0.3133
AC002094.1-3,0.044885,0.021747,0.025504,0.3133
AC015917.30-1,0.044885,0.021747,0.025504,0.3133
SARM1,0.044885,0.021747,0.025504,0.3133
IFT20,0.044885,0.021747,0.025504,0.3133
VTN,0.044885,0.021747,0.025504,0.3133
C17orf32,0.044885,0.021747,0.025504,0.3133
AC015917.30-2,0.044885,0.021747,0.025504,0.3133
SEBOX,0.044885,0.021747,0.025504,0.3133
POLDIP2,0.044885,0.021747,0.025504,0.3133
SLC46A1,0.044885,0.021747,0.025504,0.3133
FNBP1L,0.015589,0.044871,0.030223,0.1150
CDC91L1,0.009035,0.044549,0.043304,0.4667
AC025257.22,0.009844,0.039680,0.044512,0.3017
AC123904.5,0.009844,0.039680,0.044512,0.3017
hsa-mir-1233,0.017523,0.027810,0.044383,0.3350
SNORA62,0.011613,0.026728,0.044275,0.5117
RP5-1022P6.2,0.011735,0.043888,0.016235,0.2133
C2orf65,0.016380,0.029974,0.043552,0.3283
MUC20,0.028714,0.009911,0.043384,0.1533
AC069513.28-3,0.028714,0.009911,0.043384,0.1533
hsa-mir-570,0.028714,0.009911,0.043384,0.1533
GAS7,0.026969,0.014586,0.043311,0.1200
GALNTL5,0.023477,0.043246,0.015071,0.2883
LALBA,0.014989,0.043118,0.032174,0.2283
C12orf41,0.014989,0.043118,0.032174,0.2283
